년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Oct,제주시,조천읍,골프장 운영업,2880,434950350,25232483.07,2021-07-28
20-Oct,제주시,조천읍,건강보조식품 소매업,4,765600,25232483.07,2021-07-28
20-Oct,제주시,일도2동,화장품 및 방향제 소매업,422,26200600,26863445.66,2021-07-28
20-Oct,제주시,조천읍,그외 기타 종합 소매업,5087,213269470,25232483.07,2021-07-28
20-Oct,제주시,일도2동,한식 음식점업,26321,1118100298,26863445.66,2021-07-28
20-Oct,제주시,일도2동,체인화 편의점,33096,305266770,26863445.66,2021-07-28
20-Oct,제주시,일도2동,차량용 주유소 운영업,5354,235764551,26863445.66,2021-07-28
20-Oct,제주시,일도2동,중식 음식점업,1123,34982000,26863445.66,2021-07-28
20-Oct,제주시,일도2동,전시 및 행사 대행업,145,1826500,26863445.66,2021-07-28
20-Oct,제주시,일도2동,일식 음식점업,1035,86953900,26863445.66,2021-07-28
20-Oct,제주시,일도2동,일반유흥 주점업,769,141623300,26863445.66,2021-07-28
20-Oct,제주시,일도2동,"피자, 햄버거, 샌드위치 및 유사 음식점업",8005,80273040,26863445.66,2021-07-28
20-Oct,제주시,조천읍,기타 수상오락 서비스업,202,10394500,25232483.07,2021-07-28
20-Oct,제주시,조천읍,기타 외국식 음식점업,358,10399500,25232483.07,2021-07-28
20-Oct,제주시,조천읍,기타 주점업,45,7083000,25232483.07,2021-07-28
20-Oct,제주시,조천읍,전시 및 행사 대행업,5643,164265750,25232483.07,2021-07-28
20-Oct,제주시,조천읍,일식 음식점업,1476,127256870,25232483.07,2021-07-28
20-Oct,제주시,조천읍,일반유흥 주점업,66,5619000,25232483.07,2021-07-28
20-Oct,제주시,조천읍,육류 소매업,540,75012971,25232483.07,2021-07-28
20-Oct,제주시,조천읍,욕탕업,318,8513500,25232483.07,2021-07-28
20-Oct,제주시,조천읍,여행사업,60,5109320,25232483.07,2021-07-28
20-Oct,제주시,조천읍,여관업,1694,184790589,25232483.07,2021-07-28
20-Oct,제주시,조천읍,스포츠 및 레크레이션 용품 임대업,1107,54890350,25232483.07,2021-07-28
20-Oct,제주시,조천읍,슈퍼마켓,11926,432512471,25232483.07,2021-07-28
20-Oct,제주시,조천읍,수산물 소매업,320,29237000,25232483.07,2021-07-28
20-Oct,제주시,조천읍,서양식 음식점업,6972,164253620,25232483.07,2021-07-28
20-Oct,제주시,조천읍,빵 및 과자류 소매업,6957,126103812,25232483.07,2021-07-28
20-Oct,제주시,조천읍,비알콜 음료점업,3689,35847210,25232483.07,2021-07-28
20-Oct,제주시,조천읍,마사지업,4,710000,25232483.07,2021-07-28
20-Oct,제주시,조천읍,기타음식료품위주종합소매업,6466,214670040,25232483.07,2021-07-28
20-Oct,제주시,한경면,빵 및 과자류 소매업,666,13261900,8621878.215,2021-07-28
20-Oct,제주시,한경면,서양식 음식점업,3186,76239270,8621878.215,2021-07-28
20-Oct,제주시,한경면,수산물 소매업,66,5484980,8621878.215,2021-07-28
20-Oct,제주시,한경면,슈퍼마켓,4103,105247610,8621878.215,2021-07-28
20-Oct,제주시,화북동,기타음식료품위주종합소매업,1,27500,25823261.32,2021-07-28
20-Oct,제주시,화북동,기타 주점업,50,10600000,25823261.32,2021-07-28
20-Oct,제주시,화북동,기타 외국식 음식점업,1133,29599800,25823261.32,2021-07-28
20-Oct,제주시,화북동,기타 대형 종합 소매업,8454,344198240,25823261.32,2021-07-28
20-Oct,제주시,화북동,그외 기타 종합 소매업,10,5015000,25823261.32,2021-07-28
20-Oct,제주시,화북동,관광 민예품 및 선물용품 소매업,364,54261700,25823261.32,2021-07-28
20-Oct,제주시,화북동,비알콜 음료점업,2806,28297300,25823261.32,2021-07-28
20-Oct,제주시,화북동,과실 및 채소 소매업,727,54350970,25823261.32,2021-07-28
20-Oct,제주시,한림읍,휴양콘도 운영업,251,49490035,23524170.41,2021-07-28
20-Oct,제주시,한림읍,화장품 및 방향제 소매업,282,12069210,23524170.41,2021-07-28
20-Oct,제주시,한림읍,한식 음식점업,31064,1454506390,23524170.41,2021-07-28
20-Oct,제주시,한림읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",2192,41679820,23524170.41,2021-07-28
20-Oct,제주시,한림읍,체인화 편의점,35919,388197590,23524170.41,2021-07-28
20-Oct,제주시,한림읍,차량용 주유소 운영업,8485,473215815,23524170.41,2021-07-28
20-Oct,제주시,화북동,건강보조식품 소매업,128,22155411,25823261.32,2021-07-28
20-Oct,제주시,화북동,빵 및 과자류 소매업,2396,35112890,25823261.32,2021-07-28
20-Oct,제주시,화북동,서양식 음식점업,477,12022800,25823261.32,2021-07-28
20-Oct,제주시,화북동,수산물 소매업,63,12141400,25823261.32,2021-07-28
20-Oct,제주시,화북동,한식 음식점업,13744,505444000,25823261.32,2021-07-28
20-Oct,제주시,화북동,화장품 및 방향제 소매업,226,24256880,25823261.32,2021-07-28
20-Oct,제주시,화북동,체인화 편의점,20485,181368670,25823261.32,2021-07-28
20-Oct,제주시,화북동,차량용 주유소 운영업,8677,464097508,25823261.32,2021-07-28
20-Oct,제주시,화북동,차량용 가스 충전업,1301,53849944,25823261.32,2021-07-28
20-Oct,제주시,화북동,중식 음식점업,859,22272600,25823261.32,2021-07-28
20-Oct,제주시,화북동,전시 및 행사 대행업,17,361000,25823261.32,2021-07-28
20-Oct,제주시,화북동,자동차 임대업,1,400000,25823261.32,2021-07-28
20-Oct,제주시,화북동,일식 음식점업,179,15003000,25823261.32,2021-07-28
20-Oct,제주시,화북동,육류 소매업,914,58863300,25823261.32,2021-07-28
20-Oct,제주시,화북동,욕탕업,578,9972500,25823261.32,2021-07-28
20-Oct,제주시,화북동,여행사업,11,7689000,25823261.32,2021-07-28
20-Oct,제주시,화북동,여관업,1,420000,25823261.32,2021-07-28
20-Oct,제주시,화북동,스포츠 및 레크레이션 용품 임대업,237,32194800,25823261.32,2021-07-28
20-Oct,제주시,화북동,슈퍼마켓,9799,180513250,25823261.32,2021-07-28
20-Oct,제주시,한림읍,차량용 가스 충전업,372,21358396,23524170.41,2021-07-28
20-Oct,제주시,일도2동,육류 소매업,1421,71168450,26863445.66,2021-07-28
20-Oct,제주시,한림읍,중식 음식점업,2333,80897700,23524170.41,2021-07-28
20-Oct,제주시,한림읍,일식 음식점업,984,101493500,23524170.41,2021-07-28
20-Oct,제주시,한림읍,건강보조식품 소매업,23,2812000,23524170.41,2021-07-28
20-Oct,제주시,한경면,휴양콘도 운영업,30,869000,8621878.215,2021-07-28
20-Oct,제주시,한경면,한식 음식점업,9464,404862900,8621878.215,2021-07-28
20-Oct,제주시,한경면,"피자, 햄버거, 샌드위치 및 유사 음식점업",326,9302100,8621878.215,2021-07-28
20-Oct,제주시,한경면,체인화 편의점,8037,84062450,8621878.215,2021-07-28
20-Oct,제주시,한경면,차량용 주유소 운영업,3079,186349784,8621878.215,2021-07-28
20-Oct,제주시,한림읍,골프장 운영업,2516,864616651,23524170.41,2021-07-28
20-Oct,제주시,한경면,차량용 가스 충전업,98,10475929,8621878.215,2021-07-28
20-Oct,제주시,한경면,전시 및 행사 대행업,484,19157400,8621878.215,2021-07-28
20-Oct,제주시,한경면,일식 음식점업,645,28213300,8621878.215,2021-07-28
20-Oct,제주시,한경면,육류 소매업,12,9606000,8621878.215,2021-07-28
20-Oct,제주시,한경면,욕탕업,137,1796000,8621878.215,2021-07-28
20-Oct,제주시,한경면,여관업,93,5614100,8621878.215,2021-07-28
