,읍면동명,이용자수,이용금액,1인당 이용금액,계절
36,천지동,9635,1601113161,166176.76813700053,겨울
13,서홍동,643,98107927,152578.42457231725,겨울
41,화북동,1,150000,150000.0,겨울
25,용담2동,1030,153199275,148737.16019417476,겨울
15,송산동,12949,1914321715,147835.48652405592,겨울
4,대륜동,4413,639447528,144900.86743711762,겨울
10,삼도1동,2759,387703766,140523.29322218194,겨울
0,건입동,4444,601596950,135372.85103510352,겨울
33,조천읍,3536,460119697,130124.34869909502,겨울
2,남원읍,1126,143400422,127353.83836589698,겨울
6,대천동,3706,460129039,124157.8626551538,겨울
18,애월읍,7790,918665452,117928.81283697048,겨울
39,한경면,110,12809950,116454.09090909091,겨울
31,일도2동,722,75648000,104775.62326869807,겨울
40,한림읍,3902,407998498,104561.3782675551,겨울
20,영천동,4055,410986643,101353.05622688039,겨울
38,표선면,1102,108818940,98746.76950998185,겨울
14,성산읍,7419,635171884,85614.2180886912,겨울
23,외도동,3780,293027809,77520.58439153439,겨울
8,동홍동,255,18712208,73381.20784313725,겨울
5,대정읍,1387,93129155,67144.30785868781,겨울
1,구좌읍,1426,95382330,66888.02945301542,겨울
30,일도1동,1014,57188550,56398.96449704142,겨울
26,우도면,273,12158100,44535.16483516483,겨울
9,봉개동,236,10044565,42561.71610169492,겨울
17,안덕면,12756,420775303,32986.46150830982,겨울
6,대천동,22,16794000,763363.6363636364,봄
13,서홍동,36,24207900,672441.6666666666,봄
24,용담1동,451,262132800,581225.7206208425,봄
10,삼도1동,893,247537300,277197.42441209406,봄
3,노형동,3337,780560193,233910.75606832484,봄
11,삼도2동,592,125574800,212119.5945945946,봄
20,영천동,285,60446000,212091.22807017545,봄
22,오라동,1701,351565420,206681.61081716637,봄
28,이도2동,5228,780456256,149283.9051262433,봄
16,아라동,1008,149635350,148447.76785714287,봄
19,연동,14878,2184271046,146812.14182013713,봄
36,천지동,10346,1509170941,145869.99236419873,봄
32,정방동,10310,1484963041,144031.33278370515,봄
35,중앙동,10310,1484963041,144031.33278370515,봄
15,송산동,12819,1763914591,137601.5750838599,봄
27,이도1동,1739,231314430,133015.77343300747,봄
30,일도1동,28655,3715910823,129677.57190717153,봄
37,추자면,34,4323000,127147.05882352941,봄
8,동홍동,2352,249839050,106224.08588435374,봄
17,안덕면,620,59421740,95841.51612903226,봄
21,예래동,2446,230280290,94145.6623058054,봄
31,일도2동,2633,231241850,87824.47778199772,봄
5,대정읍,1559,124657190,79959.71135343169,봄
29,이호동,464,36740000,79181.03448275862,봄
2,남원읍,653,50164300,76821.28637059724,봄
41,화북동,710,54235520,76388.05633802817,봄
0,건입동,2005,139726400,69688.97755610972,봄
33,조천읍,1973,129875850,65826.58388241257,봄
