,년월,읍면동명,이용자수,이용금액,총 유동인구,업종명
216,2019-06-01,대륜동,1422,249552247,30872549.88,숙박업
378,2019-11-01,대륜동,4,333000,15618551.95,쇼핑
230,2019-07-01,대륜동,17,2681000,16625440.57,쇼핑
427,2019-11-01,대륜동,1570,304239500,31237103.9,숙박업
415,2019-12-01,대륜동,2,134000,16212870.34,쇼핑
172,2019-05-01,대륜동,7,555000,16807247.06,문화레저
91,2019-03-01,대정읍,31894,1286387008,105881218.61999999,식음료
380,2019-10-01,대정읍,721,58258440,18168343.33,문화레저
217,2019-06-01,대정읍,597,35379165,16831269.93,숙박업
306,2019-08-01,대정읍,34503,1366537947,109431880.61999999,식음료
339,2019-09-01,대정읍,644,75646320,17488663.97,문화레저
305,2019-09-01,대정읍,256,12394930,17488663.97,쇼핑
156,2019-05-01,대정읍,282,12044470,18643450.27,쇼핑
81,2019-03-01,대정읍,246,10782010,17646869.77,쇼핑
478,2019-12-01,대정읍,32047,1438472632,106308123.06000002,식음료
349,2019-09-01,대정읍,28536,1127485039,104931983.82,식음료
177,2019-05-01,대정읍,9090,262425831,93217251.35,소매업
259,2019-07-01,대정읍,527,31534228,16591139.18,숙박업
231,2019-07-01,대정읍,243,9961910,16591139.18,쇼핑
392,2019-10-01,대정읍,33984,1380621190,109010059.97999999,식음료
421,2019-11-01,대정읍,663,51721080,17994427.58,문화레저
478,2019-12-01,대정읍,8555,392999399,88590102.55000001,소매업
194,2019-06-01,대정읍,226,8487870,16831269.93,쇼핑
134,2019-04-01,대정읍,8034,212288235,86359093.35000001,소매업
268,2019-08-01,대정읍,295,11644490,18238646.77,쇼핑
5,2019-01-01,대정읍,8325,317758149,88895033.25,소매업
173,2019-05-01,대정읍,593,43924600,18643450.27,문화레저
435,2019-11-01,대정읍,8745,342962470,89972137.89999999,소매업
5,2019-01-01,대정읍,441,30661200,17779006.65,숙박업
134,2019-04-01,대정읍,33860,1378742852,103630912.02000001,식음료
392,2019-10-01,대정읍,8538,222884452,90841716.64999999,소매업
131,2019-04-01,대정읍,512,44590790,17271818.67,문화레저
301,2019-08-01,대정읍,532,30331640,18238646.77,숙박업
48,2019-02-01,대정읍,7055,240934142,79933787.0,소매업
215,2019-06-01,대정읍,643,40580300,16831269.93,문화레저
91,2019-03-01,대정읍,8048,226643024,88234348.85,소매업
349,2019-09-01,대정읍,7783,240877050,87443319.85,소매업
471,2019-12-01,대정읍,580,39209510,17718020.51,숙박업
298,2019-08-01,대정읍,627,53062000,18238646.77,문화레저
385,2019-10-01,대정읍,606,35398210,18168343.33,숙박업
341,2019-10-01,대정읍,268,13438090,18168343.33,쇼핑
220,2019-06-01,대정읍,8137,237974500,84156349.65,소매업
435,2019-11-01,대정읍,34418,1528794915,107966565.47999999,식음료
256,2019-07-01,대정읍,682,41819000,16591139.18,문화레저
462,2019-12-01,대정읍,561,51788200,17718020.51,문화레저
5,2019-01-01,대정읍,30895,1382680755,106674039.9,식음료
132,2019-04-01,대정읍,1120,40230450,34543637.34,숙박업
428,2019-11-01,대정읍,620,34849140,17994427.58,숙박업
220,2019-06-01,대정읍,32873,1370733008,100987619.58000001,식음료
379,2019-11-01,대정읍,243,11219040,17994427.58,쇼핑
416,2019-12-01,대정읍,246,11414110,17718020.51,쇼핑
89,2019-03-01,대정읍,536,34477500,35293739.54,숙박업
263,2019-07-01,대정읍,7233,189254360,82955695.9,소매업
44,2019-02-01,대정읍,220,9063040,15986757.4,쇼핑
89,2019-03-01,대정읍,454,36141800,17646869.77,문화레저
119,2019-04-01,대정읍,252,12412930,17271818.67,쇼핑
177,2019-05-01,대정읍,37555,1555787424,111860701.61999999,식음료
263,2019-07-01,대정읍,30794,1239397126,99546835.08000001,식음료
5,2019-01-01,대정읍,238,10346350,17779006.65,쇼핑
48,2019-02-01,대정읍,25650,1104493599,95920544.4,식음료
47,2019-02-01,대정읍,438,34646900,15986757.4,문화레저
5,2019-01-01,대정읍,510,37336970,17779006.65,문화레저
47,2019-02-01,대정읍,366,23258445,15986757.4,숙박업
175,2019-05-01,대정읍,1071,43964510,18643450.27,숙박업
306,2019-08-01,대정읍,8877,255175720,91193233.85,소매업
343,2019-09-01,대정읍,506,24165740,17488663.97,숙박업
264,2019-07-01,대천동,3734,113045900,37716493.844,소매업
6,2019-01-01,대천동,3,410800,8836656.911,문화레저
218,2019-06-01,대천동,1264,130893784,17475391.402,숙박업
92,2019-03-01,대천동,20494,601080686,49969642.65,식음료
306,2019-09-01,대천동,4,681000,8510895.317,쇼핑
49,2019-02-01,대천동,18800,565500606,46340313.036,식음료
133,2019-04-01,대천동,1040,229824864,16956826.696,숙박업
380,2019-11-01,대천동,4,2629500,8891357.937,쇼핑
178,2019-05-01,대천동,3958,164568306,36024508.964,소매업
176,2019-05-01,대천동,1232,201358947,18012254.482,숙박업
393,2019-10-01,대천동,21383,674062675,54596702.43,식음료
436,2019-11-01,대천동,19526,607066540,53348147.622,식음료
6,2019-01-01,대천동,22219,679852982,53019941.466,식음료
135,2019-04-01,대천동,4188,206416820,33913653.392,소매업
342,2019-10-01,대천동,1,200000,9099450.405,쇼핑
132,2019-04-01,대천동,8,4634000,8478413.348,문화레저
221,2019-06-01,대천동,3904,143712510,34950782.804,소매업
422,2019-11-01,대천동,7,8045000,8891357.937,문화레저
92,2019-03-01,대천동,4432,215485310,33313095.1,소매업
269,2019-08-01,대천동,17,964730,9428051.575,쇼핑
463,2019-12-01,대천동,3,3208000,9356135.094,문화레저
6,2019-01-01,대천동,1198,147592506,17673313.822,숙박업
307,2019-08-01,대천동,3842,110453410,37712206.3,소매업
48,2019-02-01,대천동,4,888000,7723385.506,문화레저
90,2019-03-01,대천동,6,1937000,8328273.775,문화레저
393,2019-10-01,대천동,3698,183466100,36397801.62,소매업
350,2019-09-01,대천동,3332,120614280,34043581.268,소매업
82,2019-03-01,대천동,32,808180,8328273.775,쇼핑
90,2019-03-01,대천동,1085,274017883,16656547.55,숙박업
386,2019-10-01,대천동,1313,221256202,18198900.81,숙박업
195,2019-06-01,대천동,32,1500900,8737695.701,쇼핑
479,2019-12-01,대천동,3628,122374840,37424540.376,소매업
120,2019-04-01,대천동,46,1788120,8478413.348,쇼핑
49,2019-02-01,대천동,3603,135819350,30893542.024,소매업
307,2019-08-01,대천동,24892,797875008,56568309.45,식음료
472,2019-12-01,대천동,1560,225244934,18712270.188,숙박업
135,2019-04-01,대천동,20540,631562015,50870480.08799999,식음료
48,2019-02-01,대천동,948,87291599,15446771.012,숙박업
157,2019-05-01,대천동,36,1157660,9006127.241,쇼핑
178,2019-05-01,대천동,22086,675510533,54036763.445999995,식음료
6,2019-01-01,대천동,4388,149865050,44183284.555,소매업
